"replication";"line";"tester";"yield"
1;1;6;74.4
2;1;6;70.86
3;1;6;60.94
4;1;6;68
1;1;7;91.82
2;1;7;99.18
3;1;7;118.88
4;1;7;120.68
1;1;8;48.08
2;1;8;62.1
3;1;8;58.54
4;1;8;41.84
1;2;6;59.06
2;2;6;65.62
3;2;6;81.62
4;2;6;86.76
1;2;7;84.16
2;2;7;109.74
3;2;7;102.14
4;2;7;94.52
1;2;8;96.92
2;2;8;91.44
3;2;8;79.86
4;2;8;74.38
1;3;6;109.86
2;3;6;98.16
3;3;6;93.26
4;3;6;102.26
1;3;7;117.2
2;3;7;100.28
3;3;7;116.16
4;3;7;112.52
1;3;8;109.68
2;3;8;116.48
3;3;8;123.92
4;3;8;120.86
1;4;6;103.14
2;4;6;109.66
3;4;6;90.98
4;4;6;119.4
1;4;7;53.4
2;4;7;60.86
3;4;7;74.46
4;4;7;69.08
1;4;8;53.86
2;4;8;48.3
3;4;8;40.64
4;4;8;44.62
1;5;6;98.46
2;5;6;73.1
3;5;6;89.18
4;5;6;75.86
1;5;7;81.36
2;5;7;72.82
3;5;7;89.82
4;5;7;83.74
1;5;8;86.62
2;5;8;94.18
3;5;8;90.32
4;5;8;108.16
1;1;NA;104.86
2;1;NA;84.32
3;1;NA;76.92
4;1;NA;76.48
1;2;NA;88.02
2;2;NA;106.54
3;2;NA;89.82
4;2;NA;108.68
1;3;NA;77.94
2;3;NA;71.34
3;3;NA;77.52
4;3;NA;69.48
1;4;NA;80.82
2;4;NA;106.52
3;4;NA;83.28
4;4;NA;95.92
1;5;NA;59.96
2;5;NA;52.48
3;5;NA;52.98
4;5;NA;50.98
1;NA;6;96.44
2;NA;6;98.82
3;NA;6;99.14
4;NA;6;107.16
1;NA;7;91.44
2;NA;7;99.66
3;NA;7;83.28
4;NA;7;89.46
1;NA;8;91.78
2;NA;8;84.82
3;NA;8;69.92
4;NA;8;81.48
